,Dif10d,Dif14d,Dif18d,Dif21d,AveExpr,F,P.Value,adj.P.Val
ERCC2,-0.0756457246598152,0.72243612260329,0.962958599744854,0.500998853150171,-1.02643513719258,12.1556273893988,1.06983337497022e-05,0.00135782939591111
TFRC,0.0623348329816351,0.283576486001596,0.895851530089188,1.23278936064332,-0.747443704693816,12.0394533823732,1.15669763340394e-05,0.00145743901808897
SIAH1,0.183185468023715,0.414851868976576,0.416691482146755,0.646369101744499,0.521978368711476,12.0078946479557,1.18158357927444e-05,0.00147808455226072
NAA35,0.100411742539526,0.791798532590525,0.792459989238804,0.618840854936448,-0.221070004984222,11.961347427742,1.21934571174994e-05,0.00151301677342035
CCDC115,-0.0156455869370357,0.558186485681275,0.951515609592548,0.0090297904309784,-1.07392967738879,11.9522080911476,1.22691146222837e-05,0.00151301677342035
SAMD4B,-0.263411653974089,-0.758296334610904,-0.891924582911311,-0.98375671521268,-1.20590763064665,11.8616483938719,1.30466765090674e-05,0.00159757472633566
RER1,-0.279603995192866,-0.454391372043601,-0.727955681000134,-1.0463255326128,-0.238314900315578,11.8411392708777,1.32300314427629e-05,0.00160869780927806
CTPS1,0.0258036329775028,0.0711262053640329,0.645692999610276,0.982528739266253,-0.794321896233934,11.5741510600407,1.5887327222187e-05,0.00191839476207909
ATXN10,-0.0678378393362636,0.470297994139999,1.07882846218264,0.223501092387142,-0.827943953460392,11.5221359255784,1.64689444681902e-05,0.00197491038905442
MRPS23,0.148469663169685,0.0609891938910821,0.211996078959457,1.23177042529001,-0.479788690817603,11.498254455667,1.67436129514185e-05,0.00199409549314565
ARMC7,0.0159328713286412,0.435528586760297,0.79042190089652,0.707295988081631,-0.809120528014459,11.456534392279,1.72353404086964e-05,0.00203340405596708
ATP6V1C1,0.0928305426948961,0.80556853895632,0.987428557415003,1.05055181995287,-1.43939031949424,11.4505152239319,1.73075569521008e-05,0.00203340405596708
TUBE1,-0.00704814440789031,0.368825681666172,0.677193361571232,0.882254112505639,-0.303498144443641,11.4396698428063,1.74384999079014e-05,0.00203503782817845
UQCRC2,-0.0601720429015745,0.247128618991858,0.359697295643255,0.947875259536213,-0.391805814951269,11.4287836845794,1.75710071574658e-05,0.00203683114969343
ATG9A,-0.339881858398375,-0.56792612286952,-0.734836859833233,-0.341187690239892,-0.341173736980261,11.413723757849,1.77561058952062e-05,0.00204465675036984
MASTL,-0.221951596507514,-0.0125755832646939,1.38046724930745,0.641458366436169,-1.98328884104089,11.3950310769767,1.79887758118505e-05,0.00205782127510826
